date,temperature_2m,n_valid_hours,first_legal_observation_time,last_legal_observation_time
2008-01-01,6.0946043478260865,23,2008-01-01T01:00:00+00:00,2008-01-01T23:00:00+00:00
2008-01-02,6.088754166666667,24,2008-01-02T00:00:00+00:00,2008-01-02T23:00:00+00:00
2008-01-03,6.009875,24,2008-01-03T00:00:00+00:00,2008-01-03T23:00:00+00:00
2008-01-04,5.9034458333333335,24,2008-01-04T00:00:00+00:00,2008-01-04T23:00:00+00:00
2008-01-05,5.834604,25,2008-01-05T00:00:00+00:00,2008-01-05T23:59:00+00:00
2008-01-06,5.773104166666666,24,2008-01-06T00:59:00+00:00,2008-01-06T23:59:00+00:00
2008-01-07,5.649970833333334,24,2008-01-07T00:59:00+00:00,2008-01-07T23:59:00+00:00
2008-01-08,5.576708333333333,24,2008-01-08T00:59:00+00:00,2008-01-08T23:59:00+00:00
2008-01-09,5.521170833333334,24,2008-01-09T00:59:00+00:00,2008-01-09T23:59:00+00:00
2008-01-10,5.488825,24,2008-01-10T00:59:00+00:00,2008-01-10T23:59:00+00:00
2008-01-11,5.467670833333333,24,2008-01-11T00:59:00+00:00,2008-01-11T23:59:00+00:00
2008-01-12,5.4150583333333335,24,2008-01-12T00:59:00+00:00,2008-01-12T23:59:00+00:00
2008-01-13,5.375583333333333,24,2008-01-13T00:59:00+00:00,2008-01-13T23:59:00+00:00
2008-01-14,5.380545833333334,24,2008-01-14T00:59:00+00:00,2008-01-14T23:59:00+00:00
2008-01-15,5.374616666666666,24,2008-01-15T00:59:00+00:00,2008-01-15T23:59:00+00:00
2008-01-16,5.383091666666667,24,2008-01-16T00:59:00+00:00,2008-01-16T23:59:00+00:00
2008-01-17,5.355108333333333,24,2008-01-17T00:59:00+00:00,2008-01-17T23:59:00+00:00
2008-01-18,5.378895833333333,24,2008-01-18T00:59:00+00:00,2008-01-18T23:59:00+00:00
2008-01-19,5.446525,24,2008-01-19T00:59:00+00:00,2008-01-19T23:59:00+00:00
2008-01-20,5.489741666666666,24,2008-01-20T00:59:00+00:00,2008-01-20T23:59:00+00:00
2008-01-21,5.479541666666667,24,2008-01-21T00:59:00+00:00,2008-01-21T23:59:00+00:00
2008-01-22,5.4487375,24,2008-01-22T00:59:00+00:00,2008-01-22T23:59:00+00:00
2008-01-23,5.4781375,24,2008-01-23T00:59:00+00:00,2008-01-23T23:59:00+00:00
2008-01-24,5.526254166666667,24,2008-01-24T00:59:00+00:00,2008-01-24T23:59:00+00:00
2008-01-25,5.528941666666666,24,2008-01-25T00:59:00+00:00,2008-01-25T23:59:00+00:00
2008-01-26,5.590833333333333,24,2008-01-26T00:59:00+00:00,2008-01-26T23:59:00+00:00
2008-01-27,5.631308333333333,24,2008-01-27T00:59:00+00:00,2008-01-27T23:59:00+00:00
2008-01-28,5.646066666666667,24,2008-01-28T00:59:00+00:00,2008-01-28T23:59:00+00:00
2008-01-29,5.688608333333333,24,2008-01-29T00:59:00+00:00,2008-01-29T23:59:00+00:00
2008-01-30,5.677683333333333,24,2008-01-30T00:59:00+00:00,2008-01-30T23:59:00+00:00
2008-01-31,5.6736375,24,2008-01-31T00:59:00+00:00,2008-01-31T23:59:00+00:00
2008-02-01,5.614316666666666,24,2008-02-01T00:59:00+00:00,2008-02-01T23:59:00+00:00
2008-02-02,5.5337125,24,2008-02-02T00:59:00+00:00,2008-02-02T23:59:00+00:00
2008-02-03,5.4804208333333335,24,2008-02-03T00:59:00+00:00,2008-02-03T23:59:00+00:00
2008-02-04,5.417008333333333,24,2008-02-04T00:59:00+00:00,2008-02-04T23:59:00+00:00
2008-02-05,5.392783333333333,24,2008-02-05T00:59:00+00:00,2008-02-05T23:59:00+00:00
2008-02-06,5.38005,24,2008-02-06T00:59:00+00:00,2008-02-06T23:59:00+00:00
2008-02-07,5.345670833333333,24,2008-02-07T00:59:00+00:00,2008-02-07T23:59:00+00:00
2008-02-08,5.3352916666666665,24,2008-02-08T00:59:00+00:00,2008-02-08T23:59:00+00:00
2008-02-09,5.371370833333334,24,2008-02-09T00:59:00+00:00,2008-02-09T23:59:00+00:00
2008-02-10,5.386141666666667,24,2008-02-10T00:59:00+00:00,2008-02-10T23:59:00+00:00
2008-02-11,5.367516666666667,24,2008-02-11T00:59:00+00:00,2008-02-11T23:59:00+00:00
2008-02-12,5.353604166666667,24,2008-02-12T00:59:00+00:00,2008-02-12T23:59:00+00:00
2008-02-13,5.3352208333333335,24,2008-02-13T00:59:00+00:00,2008-02-13T23:59:00+00:00
2008-02-14,5.270975,24,2008-02-14T00:59:00+00:00,2008-02-14T23:59:00+00:00
