date,temperature_2m,n_valid_hours,first_legal_observation_time,last_legal_observation_time
2008-01-01,6.0946043478260865,23,2008-01-01T01:00:00+00:00,2008-01-01T23:00:00+00:00
2008-01-02,6.088754166666667,24,2008-01-02T00:00:00+00:00,2008-01-02T23:00:00+00:00
2008-01-03,6.009875,24,2008-01-03T00:00:00+00:00,2008-01-03T23:00:00+00:00
2008-01-04,5.9034458333333335,24,2008-01-04T00:00:00+00:00,2008-01-04T23:00:00+00:00
2008-01-05,5.834604,25,2008-01-05T00:00:00+00:00,2008-01-05T23:59:00+00:00
2008-01-06,5.773104166666666,24,2008-01-06T00:59:00+00:00,2008-01-06T23:59:00+00:00
2008-01-07,5.649970833333334,24,2008-01-07T00:59:00+00:00,2008-01-07T23:59:00+00:00
2008-01-08,5.576708333333333,24,2008-01-08T00:59:00+00:00,2008-01-08T23:59:00+00:00
2008-01-09,5.521170833333334,24,2008-01-09T00:59:00+00:00,2008-01-09T23:59:00+00:00
2008-01-10,5.488825,24,2008-01-10T00:59:00+00:00,2008-01-10T23:59:00+00:00
2008-01-11,5.467670833333333,24,2008-01-11T00:59:00+00:00,2008-01-11T23:59:00+00:00
2008-01-12,5.4150583333333335,24,2008-01-12T00:59:00+00:00,2008-01-12T23:59:00+00:00
2008-01-13,5.375583333333333,24,2008-01-13T00:59:00+00:00,2008-01-13T23:59:00+00:00
2008-01-14,5.380545833333334,24,2008-01-14T00:59:00+00:00,2008-01-14T23:59:00+00:00
2008-01-15,5.374616666666666,24,2008-01-15T00:59:00+00:00,2008-01-15T23:59:00+00:00
2008-01-16,5.383091666666667,24,2008-01-16T00:59:00+00:00,2008-01-16T23:59:00+00:00
2008-01-17,5.355108333333333,24,2008-01-17T00:59:00+00:00,2008-01-17T23:59:00+00:00
2008-01-18,5.378895833333333,24,2008-01-18T00:59:00+00:00,2008-01-18T23:59:00+00:00
2008-01-19,5.446525,24,2008-01-19T00:59:00+00:00,2008-01-19T23:59:00+00:00
2008-01-20,5.489741666666666,24,2008-01-20T00:59:00+00:00,2008-01-20T23:59:00+00:00
